caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
07/31/1972,0.003245,0.002126,-0.020226,-0.021821,0.002333
08/31/1972,0.039425,0.034649,0.041005,0.037076,0.034454
09/29/1972,-0.003277,-0.004516,-0.021428,-0.023557,-0.004861
10/31/1972,0.010878,0.009503,0.003161,0.001257,0.009317
11/30/1972,0.050297,0.045173,0.073014,0.069041,0.045617
12/29/1972,0.013663,0.012622,-0.011839,-0.013920,0.011828
01/31/1973,-0.016752,-0.018044,-0.049043,-0.050561,-0.017111
02/28/1973,-0.033818,-0.038229,-0.048057,-0.051915,-0.037490
03/30/1973,-0.001093,-0.002089,-0.013546,-0.015889,-0.001433
04/30/1973,-0.040064,-0.041236,-0.048872,-0.050663,-0.040800
05/31/1973,-0.013950,-0.019002,-0.046895,-0.051585,-0.018884
06/29/1973,-0.005178,-0.006522,-0.026751,-0.029548,-0.006575
07/31/1973,0.039128,0.037679,0.074206,0.072115,0.037982
08/31/1973,-0.031544,-0.036505,-0.020430,-0.025377,-0.036685
09/28/1973,0.042219,0.041038,0.095102,0.092735,0.040096
10/31/1973,0.000312,-0.001560,0.000370,-0.002016,-0.001291
11/30/1973,-0.107220,-0.113046,-0.150922,-0.155919,-0.113861
12/31/1973,0.017971,0.016534,0.010212,0.006804,0.016569
01/31/1974,-0.008120,-0.009749,0.070594,0.068305,-0.010046
02/28/1974,0.001992,-0.003695,0.015250,0.010419,-0.003624
03/29/1974,-0.021818,-0.023154,-0.020739,-0.024063,-0.023280
04/30/1974,-0.037649,-0.039359,-0.054491,-0.057073,-0.039051
05/31/1974,-0.026896,-0.033127,-0.062036,-0.067643,-0.033551
06/28/1974,-0.012816,-0.014583,-0.028428,-0.032315,-0.014665
07/31/1974,-0.076698,-0.078500,-0.048018,-0.050821,-0.077791
08/30/1974,-0.082177,-0.089737,-0.088521,-0.095290,-0.090279
09/30/1974,-0.117511,-0.119578,-0.080483,-0.085022,-0.119335
10/31/1974,0.168113,0.164814,0.136543,0.132523,0.163047
11/29/1974,-0.045688,-0.053816,-0.040366,-0.048104,-0.053180
12/31/1974,-0.018021,-0.020305,-0.034578,-0.039534,-0.020151
01/31/1975,0.123610,0.121698,0.231295,0.228545,0.122812
02/28/1975,0.067460,0.059497,0.047101,0.040466,0.059886
03/31/1975,0.024014,0.022122,0.068629,0.064325,0.021694
04/30/1975,0.049424,0.047293,0.043086,0.040603,0.047265
05/30/1975,0.051193,0.044794,0.059038,0.053101,0.044101
06/30/1975,0.046220,0.044342,0.064031,0.060386,0.044323
07/31/1975,-0.065504,-0.067553,-0.054769,-0.057049,-0.067654
08/29/1975,-0.015663,-0.021731,-0.028157,-0.033283,-0.021070
09/30/1975,-0.032250,-0.034226,-0.035548,-0.039229,-0.034645
10/31/1975,0.064855,0.062135,0.048020,0.044945,0.061643
11/28/1975,0.030089,0.023996,0.035285,0.030446,0.024708
12/31/1975,-0.010485,-0.012296,-0.002209,-0.005891,-0.011508
01/30/1976,0.120143,0.118545,0.160253,0.158250,0.118306
02/27/1976,-0.005756,-0.011620,0.035711,0.031245,-0.011402
03/31/1976,0.032640,0.030786,0.019319,0.015831,0.030689
04/30/1976,-0.009610,-0.010699,-0.008644,-0.010487,-0.010995
05/28/1976,-0.008116,-0.015026,-0.016461,-0.021278,-0.014364
06/30/1976,0.043959,0.042158,0.054092,0.050594,0.040926
07/30/1976,-0.007202,-0.008454,-0.006056,-0.007535,-0.008055
08/31/1976,0.001599,-0.004982,-0.010466,-0.015543,-0.005124
09/30/1976,0.024421,0.022670,0.019880,0.016850,0.022641
10/29/1976,-0.020211,-0.021995,-0.024064,-0.026095,-0.022235
11/30/1976,-0.001041,-0.008628,0.022976,0.017396,-0.007775
12/31/1976,0.053775,0.052170,0.074751,0.071956,0.052498
01/31/1977,-0.049654,-0.051167,-0.033987,-0.035663,-0.050530
02/28/1977,-0.015638,-0.022400,-0.018894,-0.023645,-0.021660
03/31/1977,-0.012502,-0.014548,0.000757,-0.002610,-0.014025
04/29/1977,0.000641,-0.000503,0.008245,0.006641,0.000203
05/31/1977,-0.015064,-0.023541,-0.013983,-0.019743,-0.023568
06/30/1977,0.047776,0.045705,0.052666,0.049498,0.045360
07/29/1977,-0.015453,-0.016589,-0.017614,-0.019139,-0.016222
08/31/1977,-0.012310,-0.020221,-0.014606,-0.020464,-0.021042
09/30/1977,-0.000825,-0.003084,-0.001940,-0.005207,-0.002480
10/31/1977,-0.041984,-0.043869,-0.037299,-0.039474,-0.043406
11/30/1977,0.036752,0.026953,0.062860,0.056317,0.026966
12/30/1977,0.005570,0.003637,0.001322,-0.001858,0.002847
01/31/1978,-0.060643,-0.062611,-0.052203,-0.054196,-0.061514
02/28/1978,-0.016260,-0.024938,-0.010106,-0.016400,-0.024762
03/31/1978,0.026925,0.024356,0.052852,0.049195,0.024931
04/28/1978,0.088964,0.087593,0.084346,0.082595,0.085416
05/31/1978,0.013719,0.004436,0.033585,0.027039,0.004234
06/30/1978,-0.016578,-0.018953,-0.012138,-0.015439,-0.017585
07/31/1978,0.056974,0.055121,0.061513,0.059432,0.053910
08/31/1978,0.033641,0.025563,0.050556,0.044743,0.025924
09/29/1978,-0.005163,-0.007483,-0.008445,-0.011506,-0.007261
10/31/1978,-0.089570,-0.092269,-0.132708,-0.135258,-0.091574
11/30/1978,0.026771,0.017400,0.028728,0.022027,0.016640
12/29/1978,0.016627,0.014264,0.009073,0.005322,0.014889
01/31/1979,0.042697,0.040161,0.068738,0.066211,0.039746
02/28/1979,-0.028649,-0.036958,-0.030595,-0.036749,-0.036526
03/30/1979,0.057361,0.054825,0.072952,0.069101,0.055152
04/30/1979,0.004183,0.002218,0.010733,0.008284,0.001673
05/31/1979,-0.016818,-0.026303,-0.012932,-0.019439,-0.026336
06/29/1979,0.040324,0.037792,0.051772,0.047840,0.038656
07/31/1979,0.012051,0.009737,0.027324,0.024765,0.008746
08/31/1979,0.061865,0.053222,0.071897,0.065442,0.053078
09/28/1979,0.001416,-0.000872,-0.000964,-0.003896,0.000000
10/31/1979,-0.065560,-0.068517,-0.091444,-0.094343,-0.068606
11/30/1979,0.052777,0.043570,0.065807,0.058867,0.042624
12/31/1979,0.018340,0.015892,0.040352,0.036377,0.016767
01/31/1980,0.061308,0.058935,0.058776,0.056395,0.057625
02/29/1980,0.002611,-0.005574,-0.031633,-0.037766,-0.004380
03/31/1980,-0.097518,-0.100096,-0.105716,-0.109875,-0.101795
04/30/1980,0.042394,0.039877,0.045939,0.043137,0.041140
05/30/1980,0.055560,0.046651,0.081396,0.074573,0.046571
06/30/1980,0.029722,0.026895,0.032730,0.028529,0.026969
07/31/1980,0.068200,0.065630,0.091636,0.089087,0.065039
08/29/1980,0.013454,0.006030,0.026901,0.021016,0.005835
09/30/1980,0.027935,0.025155,0.028600,0.024886,0.025168
10/31/1980,0.017809,0.014742,0.008989,0.005923,0.016021
11/28/1980,0.109910,0.103015,0.064686,0.059359,0.102377
12/31/1980,-0.030634,-0.033006,-0.011078,-0.015066,-0.033874
01/30/1981,-0.043370,-0.045036,-0.011364,-0.013366,-0.045742
02/27/1981,0.021267,0.013492,0.028192,0.022379,0.013277
03/31/1981,0.038285,0.035426,0.082034,0.077860,0.036033
04/30/1981,-0.020211,-0.021967,0.000661,-0.001427,-0.023456
05/29/1981,0.006539,-0.001124,0.017051,0.011688,-0.001657
06/30/1981,-0.008255,-0.011180,-0.008757,-0.012767,-0.010408
07/31/1981,0.000714,-0.000946,-0.017618,-0.019626,-0.002210
08/31/1981,-0.055540,-0.063659,-0.062569,-0.068274,-0.062099
09/30/1981,-0.050466,-0.053500,-0.051380,-0.055580,-0.053832
10/30/1981,0.052115,0.048694,0.058788,0.055661,0.049148
11/30/1981,0.043827,0.035918,0.042338,0.036247,0.036590
