caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
12/24/1948,0.006712,0.006712,0.009527,0.009527,
12/27/1948,-0.003954,-0.003954,-0.006959,-0.006959,
12/28/1948,-0.007096,-0.007096,-0.006432,-0.006432,
12/29/1948,0.013587,0.013377,0.012709,0.012124,
12/30/1948,0.000317,0.000132,-0.002425,-0.003496,
12/31/1948,-0.005729,-0.005729,-0.006198,-0.006198,
01/03/1949,-0.016143,-0.016197,-0.014459,-0.014597,
01/04/1949,0.005241,0.005241,0.007329,0.007329,
01/05/1949,0.008903,0.008903,0.011243,0.011243,
01/06/1949,0.022537,0.022537,0.023025,0.023025,
01/07/1949,0.007292,0.007292,0.009577,0.009577,
01/08/1949,0.000553,0.000553,0.001354,0.001354,
01/10/1949,-0.007735,-0.007735,-0.009193,-0.009193,
01/11/1949,-0.000105,-0.000365,-0.000851,-0.001245,
01/12/1949,-0.002100,-0.002135,-0.000505,-0.000651,
01/13/1949,-0.005049,-0.005049,-0.004775,-0.004775,
01/14/1949,-0.010004,-0.010004,-0.008163,-0.008163,
01/15/1949,0.003488,0.003488,0.003285,0.003285,
01/17/1949,0.005921,0.005921,0.004342,0.004342,
01/18/1949,0.000308,-0.000003,0.002598,0.002009,
01/19/1949,0.004096,0.004096,0.006041,0.006041,
01/20/1949,0.003875,0.003875,0.004524,0.004524,
01/21/1949,-0.001436,-0.001617,-0.000818,-0.000957,
01/22/1949,0.002238,0.002238,0.002778,0.002778,
01/24/1949,-0.004861,-0.004861,-0.003225,-0.003225,
01/25/1949,-0.006870,-0.006870,-0.007306,-0.007306,
01/26/1949,-0.002505,-0.002856,-0.002955,-0.003315,
01/27/1949,-0.003033,-0.003033,-0.003182,-0.003182,
01/28/1949,-0.003024,-0.003117,-0.004903,-0.005148,
01/29/1949,0.002583,0.002583,0.002512,0.002512,
01/31/1949,-0.001101,-0.001101,-0.002729,-0.002729,
02/01/1949,0.007459,0.007459,0.006242,0.006242,
02/02/1949,0.001467,0.000500,0.002034,0.001556,
02/03/1949,-0.000950,-0.001294,0.000794,0.000424,
02/04/1949,-0.015128,-0.015128,-0.014306,-0.014306,
02/05/1949,-0.016763,-0.016763,-0.019891,-0.019891,
02/07/1949,-0.006502,-0.006561,-0.009529,-0.009699,
02/08/1949,-0.001450,-0.003501,0.001169,0.000299,
02/09/1949,0.005721,0.005468,0.008075,0.007604,
02/10/1949,-0.013712,-0.014219,-0.014844,-0.015101,
02/11/1949,-0.000499,-0.000982,-0.000496,-0.001955,
02/14/1949,0.003113,0.003113,0.003184,0.003184,
02/15/1949,0.005620,0.003029,0.005581,0.005349,
02/16/1949,0.005325,0.005064,0.006620,0.005894,
02/17/1949,0.007703,0.007313,0.009537,0.009179,
02/18/1949,-0.003085,-0.003420,-0.004398,-0.005096,
02/19/1949,-0.002361,-0.002361,-0.002687,-0.002687,
02/21/1949,-0.001251,-0.001251,-0.001556,-0.001556,
02/23/1949,-0.009490,-0.010629,-0.009434,-0.010467,
02/24/1949,-0.012103,-0.012380,-0.012440,-0.012889,
02/25/1949,-0.001851,-0.002345,0.000397,0.000015,
02/26/1949,0.005691,0.005691,0.008447,0.008447,
02/28/1949,0.011531,0.011531,0.010264,0.010264,
03/01/1949,0.005506,0.005506,0.005376,0.005376,
03/02/1949,-0.000617,-0.001688,-0.003477,-0.004367,
03/03/1949,-0.001493,-0.001898,-0.002273,-0.002608,
03/04/1949,0.001451,0.001027,0.000705,0.000315,
03/05/1949,0.010012,0.010012,0.010051,0.010051,
03/07/1949,0.003726,0.003726,0.004777,0.004777,
03/08/1949,0.001579,0.001489,0.001964,0.001704,
03/09/1949,-0.001894,-0.002357,-0.002831,-0.003484,
03/10/1949,0.000596,0.000596,0.000808,0.000808,
03/11/1949,0.010978,0.010651,0.011805,0.011018,
03/12/1949,0.002472,0.002472,0.004330,0.004330,
03/14/1949,0.000320,0.000294,-0.002326,-0.002481,
03/15/1949,-0.005813,-0.005813,-0.006762,-0.006762,
03/16/1949,-0.003738,-0.004591,-0.004817,-0.005137,
03/17/1949,0.003976,0.003931,0.005700,0.005542,
03/18/1949,-0.003119,-0.003119,-0.002215,-0.002215,
03/19/1949,-0.001041,-0.001041,-0.000246,-0.000246,
03/21/1949,-0.003451,-0.003451,-0.003220,-0.003220,
03/22/1949,-0.007365,-0.007365,-0.009806,-0.009806,
03/23/1949,0.013233,0.013135,0.013974,0.013820,
03/24/1949,0.001608,0.001608,0.006174,0.006174,
03/25/1949,-0.005428,-0.005428,-0.005048,-0.005048,
03/26/1949,0.000149,0.000149,0.001700,0.001700,
03/28/1949,0.002384,0.002384,0.001033,0.001033,
03/29/1949,0.019486,0.019432,0.022367,0.021949,
03/30/1949,0.000647,-0.000034,0.005532,0.004894,
03/31/1949,-0.010277,-0.010296,-0.010413,-0.010586,
04/01/1949,-0.007725,-0.007779,-0.007369,-0.007505,
04/02/1949,0.003922,0.003922,0.004071,0.004071,
